14.83 0.09 35.70 1.47
13.96 0.01 27.96 0.59
13.83 0.01 33.36 0.73
12.28 0.09 17.82 5.20
14.91 0.13 30.17 1.54
14.79 0.10 31.64 1.41
13.51 0.01 22.29 0.71
12.62 0.05 31.28 5.67
12.89 0.03 31.95 3.36
14.21 0.03 25.02 0.69
13.10 0.02 27.21 1.79
12.98 0.02 20.54 1.54
12.17 0.11 16.00 5.74
13.49 0.01 32.72 1.12
12.19 0.12 25.24 10.39
12.53 0.05 17.63 3.09
12.46 0.07 28.34 6.93
12.44 0.07 24.43 5.80
13.12 0.02 31.08 2.04
12.11 0.12 16.05 6.46
12.40 0.08 27.13 7.42
13.89 0.01 23.67 0.54
12.88 0.03 27.65 2.77
12.25 0.11 25.98 9.46
12.53 0.06 23.02 4.46
13.46 0.01 15.09 0.50
13.92 0.01 26.23 0.57
12.61 0.05 23.12 3.83
14.06 0.01 29.85 0.61
12.59 0.05 23.70 4.06
13.01 0.02 25.08 1.88
14.47 0.04 35.50 0.97
12.42 0.07 20.60 4.80
13.64 0.01 29.24 0.80
13.34 0.01 32.34 1.42
13.64 0.01 31.91 0.87
14.03 0.01 27.06 0.58
12.72 0.04 19.20 2.38
13.84 0.01 34.11 0.73
14.00 0.01 27.17 0.58
12.12 0.14 25.42 12.15
12.77 0.04 27.52 3.47
14.28 0.02 33.68 0.73
12.02 0.19 28.62 18.13
14.17 0.03 25.46 0.66
13.45 0.01 18.75 0.64
12.78 0.04 31.62 4.13
14.31 0.04 24.87 0.81
13.11 0.02 17.50 1.00
12.76 0.04 30.24 4.04
13.85 0.01 32.69 0.70
12.19 0.13 29.93 13.44
13.13 0.02 31.97 2.05
13.76 0.01 24.43 0.59
12.75 0.03 23.80 2.92
12.06 0.17 27.89 16.00
14.26 0.03 29.67 0.72
12.09 0.16 28.08 15.00
14.32 0.02 34.62 0.77
12.01 0.20 30.77 20.43
13.43 0.01 28.37 1.04
14.17 0.04 21.96 0.67
13.91 0.01 30.30 0.63
13.72 0.01 26.24 0.65
12.24 0.12 27.23 10.52
12.05 0.18 29.89 18.08
12.55 0.06 30.67 6.30
12.66 0.05 27.82 4.44
12.91 0.02 20.77 1.80
14.78 0.08 36.52 1.42
12.05 0.13 15.24 6.93
12.50 0.06 23.44 4.80
13.43 0.01 25.36 0.92
12.57 0.05 21.23 3.61
13.14 0.02 31.68 2.00
13.49 0.01 19.76 0.64
12.33 0.09 28.12 8.97
13.58 0.01 32.09 0.95
13.50 0.01 30.44 1.02
12.18 0.13 28.41 12.63
12.44 0.07 28.32 7.08
14.13 0.02 30.61 0.63
14.63 0.08 28.63 1.20
13.17 0.02 31.68 1.88
13.83 0.01 26.85 0.61
12.32 0.10 31.07 10.64
13.03 0.02 28.27 2.15
12.35 0.07 18.06 4.63
13.56 0.01 32.10 0.99
13.14 0.02 25.85 1.55
12.60 0.04 16.51 2.45
12.68 0.05 31.74 5.11
12.83 0.03 21.99 2.28
13.14 0.02 24.48 1.42
12.84 0.03 25.86 2.75
12.80 0.03 23.21 2.60
12.67 0.04 27.37 4.22
14.16 0.02 30.66 0.65
12.91 0.03 30.63 3.05
12.45 0.05 15.07 2.89
12.12 0.12 16.24 6.54
12.20 0.10 17.82 6.23
12.62 0.05 28.67 5.06
14.90 0.11 32.68 1.56
12.01 0.20 29.48 19.27
14.76 0.11 26.79 1.35
12.47 0.07 28.27 6.70
12.90 0.03 24.05 2.20
14.30 0.02 34.81 0.75
14.98 0.10 38.88 1.69
13.54 0.01 29.96 0.93
12.43 0.07 26.98 6.86
13.68 0.01 32.43 0.84
13.46 0.01 27.94 0.98
13.37 0.01 30.87 1.26
12.28 0.09 21.04 6.66
12.64 0.04 23.92 3.71
12.08 0.14 19.22 9.06
14.70 0.07 36.53 1.31
13.47 0.01 22.96 0.77
12.55 0.06 29.40 5.94
14.20 0.02 34.61 0.68
13.06 0.02 29.56 2.14
12.77 0.04 30.73 4.03
12.88 0.03 31.19 3.27
13.19 0.02 24.66 1.32
14.20 0.02 31.32 0.67
14.94 0.14 29.18 1.58
13.92 0.01 25.39 0.56
13.12 0.02 18.21 1.03
12.54 0.06 29.00 6.03
14.91 0.14 28.24 1.54
15.00 0.15 29.52 1.66
13.58 0.01 28.86 0.85
14.78 0.08 37.76 1.42
12.27 0.10 25.70 8.99
14.37 0.03 35.48 0.84
13.82 0.01 33.18 0.73
12.20 0.12 26.05 10.74
14.13 0.02 27.51 0.62
12.51 0.05 18.89 3.55
13.07 0.02 24.27 1.61
14.81 0.08 37.15 1.46
14.56 0.07 29.76 1.12
12.76 0.04 26.80 3.41
12.58 0.05 27.56 5.17
12.67 0.04 24.93 3.72
12.62 0.04 19.48 2.93
12.44 0.07 25.07 5.98
13.60 0.01 24.18 0.69
12.23 0.11 23.46 8.51
12.37 0.06 14.31 3.18
13.50 0.01 26.30 0.86
12.86 0.03 31.80 3.53
13.16 0.01 14.46 0.72
12.07 0.14 18.21 8.58
12.08 0.17 29.80 17.03
12.36 0.09 29.65 9.09
12.73 0.03 20.98 2.59
13.52 0.01 32.93 1.08
14.73 0.12 25.22 1.31
13.69 0.01 21.51 0.56
13.49 0.01 29.88 1.01
13.62 0.01 26.94 0.75
14.08 0.01 29.14 0.61
12.26 0.08 15.43 4.51
13.63 0.01 24.81 0.68
12.30 0.09 18.82 5.51
12.16 0.14 26.68 12.20
12.84 0.03 31.19 3.55
13.34 0.01 29.33 1.26
14.34 0.04 26.42 0.84
14.89 0.13 29.11 1.52
12.88 0.03 23.98 2.31
14.79 0.09 32.78 1.42
12.97 0.02 30.29 2.67
12.41 0.06 17.07 3.82
12.61 0.05 25.80 4.38
13.37 0.01 25.60 1.03
13.45 0.01 15.94 0.54
12.12 0.15 29.60 15.12
13.43 0.01 26.98 0.98
13.12 0.02 30.29 1.97
13.65 0.01 23.76 0.64
12.12 0.15 29.78 15.25
12.46 0.06 19.01 3.96
12.14 0.13 21.81 9.43
12.99 0.02 22.82 1.75
12.39 0.08 26.22 7.12
12.30 0.08 15.65 4.21
12.85 0.03 31.63 3.56
12.52 0.06 25.41 5.26
12.13 0.14 25.99 12.33
13.26 0.01 24.55 1.16
12.49 0.06 23.19 4.84
13.00 0.02 30.90 2.55
12.64 0.05 29.75 5.05
12.00 0.16 18.12 9.72
12.16 0.14 27.40 12.46
12.34 0.06 12.53 2.84
14.74 0.11 27.55 1.32
12.53 0.05 17.43 3.02
13.39 0.01 29.17 1.15
12.87 0.03 26.62 2.72
13.51 0.01 32.22 1.07
12.92 0.03 29.31 2.77
12.80 0.03 27.28 3.21
12.84 0.03 31.89 3.66
13.87 0.01 28.08 0.61
12.99 0.02 29.01 2.38
13.36 0.01 26.95 1.10
12.19 0.10 15.03 5.03
12.84 0.03 20.97 2.06
12.36 0.09 25.78 7.48
13.11 0.02 29.75 1.96
13.60 0.01 22.87 0.64
12.07 0.14 18.36 8.54
12.01 0.20 29.24 18.92
13.72 0.01 31.84 0.78
12.35 0.08 21.37 5.85
13.13 0.02 26.81 1.65
13.41 0.01 29.66 1.13
14.21 0.02 33.68 0.68
12.10 0.14 21.25 9.98
12.45 0.06 21.28 4.68
13.92 0.01 33.60 0.68
14.61 0.11 22.65 1.16
13.54 0.01 29.81 0.93
12.80 0.03 28.31 3.37
12.02 0.18 25.84 15.62
